channel,is_posterior,snr9_when_target9_db,snr9_when_target14_db,snr9_condition_contrast_db,snr14_when_target14_db,snr14_when_target9_db,snr14_condition_contrast_db,amp9_when_target9_uv,amp9_when_target14_uv,amp9_condition_contrast_uv,amp14_when_target14_uv,amp14_when_target9_uv,amp14_condition_contrast_uv
C1,False,3.4594607914931323,-1.5816883039132965,5.041149095406428,3.566474055793133,-1.618607919738797,5.18508197553193,0.22033307819692563,0.12585561586347344,0.0944774623334522,0.11150071865415294,0.07260551802830782,0.03889520062584512
C2,False,1.5861815898373135,-1.269501921012803,2.8556835108501164,-1.043927580346576,-1.2624641142472666,0.2185365339006906,0.1845682111433503,0.1414931608178815,0.04307505032546882,0.0741360523673338,0.07579608340361024,-0.0016600310362764464
C6,False,0.4389596312851384,-0.6893814664843614,1.1283410977694999,0.4766652600494483,-0.5638147738455312,1.0404800338949796,0.19147574301398043,0.15224138371441914,0.03923435929956129,0.10934711529415393,0.1077693924159087,0.0015777228782452302
CP3,False,3.3464940608734883,-1.0959801949345018,4.442474255807991,0.8220812860270307,-0.5525723444245262,1.3746536304515569,0.2437083364022757,0.14793850674469217,0.09576982965758354,0.10607223792161755,0.08951778058965784,0.016554457331959704
CPz,False,-2.086843903752334,0.4697973505204365,-2.5566412542727703,2.0450534314568865,1.203058320204556,0.8419951112523305,0.14338286235084244,0.1662307394010976,-0.02284787705025515,0.10367497115031929,0.0858205583963572,0.017854412753962087
CP4,False,-1.426469607697306,0.40996032762507645,-1.8364299353223825,-0.28253795310426233,-0.7011538928572011,0.41861593975293876,0.14033072902120305,0.14682513547762377,-0.006494406456420715,0.08356231435526777,0.07818508573630933,0.005377228618958438
P5,True,3.216624476288171,-1.0378429146584875,4.254467390946658,0.45043326480184864,-1.7788524415059208,2.2292857063077696,0.3294914105052514,0.21109954035346995,0.11839187015178143,0.12666674303897033,0.11290870307816003,0.013758039960810292
P1,False,3.6891176603405436,0.6467215570306648,3.042396103309879,2.497485203508353,-1.7122458964072151,4.209731099915568,0.26179359659733964,0.19596554052048692,0.06582805607685271,0.13578375069868878,0.09357509531949898,0.0422086553791898
P2,False,1.8324847883711428,1.2543483010909438,0.5781364872801991,0.5843364725993876,-0.05807257611149814,0.6424090487108858,0.23326285544989267,0.23828305452019424,-0.005020199070301573,0.13834284617369347,0.10699014957936456,0.031352696594328905
PO5,False,6.309629558015434,-0.13035929901469828,6.439988857030133,6.874613687396199,-1.5540045505586761,8.428618237954876,0.44541145622233413,0.2080420191303855,0.23736943709194863,0.24820217542080836,0.0939966339418842,0.15420554147892415
PO3,True,6.518485242538552,0.12903578002175062,6.389449462516802,7.021218243575012,-2.0216861281248595,9.042904371699871,0.4472886722233686,0.20470328612860075,0.24258538609476785,0.24934148062734388,0.08826833730587233,0.16107314332147155
PO4,True,5.888477487076156,1.317740960929075,4.570736526147082,4.891886378745626,-0.7544595689857495,5.646345947731376,0.3936600007368362,0.2339046558275546,0.15975534490928162,0.19852392660168866,0.09481697167918095,0.10370695492250771
PO6,False,5.494913420214092,0.7755863978111132,4.719327022402979,4.85687806833604,-1.4562093586258218,6.313087426961862,0.39032447743140475,0.23574078469580734,0.1545836927355974,0.2009278849097617,0.0921358173849631,0.10879206752479861
FT7,False,1.049306293038704,-2.4274571800768916,3.4767634731155956,3.4705402257699007,-1.2885945497963545,4.759134775566255,0.24162099828781888,0.16852892243893308,0.0730920758488858,0.1690552879886582,0.1218923686340663,0.04716291935459191
TP7,False,-1.5421016219023265,-0.5859183525155689,-0.9561832693867576,0.8783334234260698,1.624708723698171,-0.7463753002721012,0.22936326202649207,0.21235031178911373,0.017012950237378338,0.1331177467193599,0.14030678856942078,-0.00718904185006089
TP8,False,2.013013103065376,-3.610721200007543,5.6237343030729186,0.9405683071859772,-0.5577143149720545,1.4982826221580317,0.19942375257147046,0.12487502642501333,0.07454872614645713,0.1130442445606366,0.08947321312963923,0.02357103143099737
PO7,True,6.155529036165572,-0.16782201185988646,6.323351048025459,6.725171152381395,-1.308538532317395,8.03370968469879,0.4491667136843546,0.20174978714078762,0.247416926543567,0.251524863753197,0.09536867339244731,0.15615619036074968
PO8,True,4.8435664304951604,-0.14821561565018193,4.991782046145342,2.9858634089867184,-0.4143094027197294,3.400172811706448,0.40357585697178644,0.24189336654284807,0.16168249042893837,0.20061482509413886,0.11328923061909361,0.08732559447504525
